title,comment,date
한석원쌤이 문과러에게 전하는 영상! 이건 꼭 들어야 해!,한석원 쌤 책도 쓰심﻿,한석원쌤이 문과러에게 전하는 영상! 이건 꼭 들어야 해!
한석원쌤이 문과러에게 전하는 영상! 이건 꼭 들어야 해!,결론:21번은 미쳤다﻿,한석원쌤이 문과러에게 전하는 영상! 이건 꼭 들어야 해!
한석원쌤이 문과러에게 전하는 영상! 이건 꼭 들어야 해!,철학과 졸업한 수학천재﻿,한석원쌤이 문과러에게 전하는 영상! 이건 꼭 들어야 해!
한석원쌤이 문과러에게 전하는 영상! 이건 꼭 들어야 해!,"난 21번이 더 쉽던데...,30번은 좀 힘딸리는 느낌이고,,﻿",한석원쌤이 문과러에게 전하는 영상! 이건 꼭 들어야 해!
한석원쌤이 문과러에게 전하는 영상! 이건 꼭 들어야 해!,귀여워﻿,한석원쌤이 문과러에게 전하는 영상! 이건 꼭 들어야 해!
한석원쌤이 문과러에게 전하는 영상! 이건 꼭 들어야 해!,와 00:53 이거 문이과 공통 씹명언이다. 똑똑한 방법으로 안풀리면 수능에선 ㅄ같은 방법으로라도 어떻게든 풀어내야함.﻿,한석원쌤이 문과러에게 전하는 영상! 이건 꼭 들어야 해!
한석원쌤이 문과러에게 전하는 영상! 이건 꼭 들어야 해!,"※주의
댓글읽지마셈 정신건강에 해로움﻿",한석원쌤이 문과러에게 전하는 영상! 이건 꼭 들어야 해!
한석원쌤이 문과러에게 전하는 영상! 이건 꼭 들어야 해!,"수학에 바보같은 방법은 없다.
모든 방법이 고귀한 진리다.﻿",한석원쌤이 문과러에게 전하는 영상! 이건 꼭 들어야 해!
한석원쌤이 문과러에게 전하는 영상! 이건 꼭 들어야 해!,"건 왜 건 왜 건 왜
아~해서! 아~해서!
아이~선생님 그냥풀면되지 왜 지랄이십니까? 가 아니고 한번만 더 해본다 이야기지?﻿",한석원쌤이 문과러에게 전하는 영상! 이건 꼭 들어야 해!
한석원쌤이 문과러에게 전하는 영상! 이건 꼭 들어야 해!,"와 ㅅㅂ 수능점슈는 못받는건 여러분들 탓 씹명언,,﻿",한석원쌤이 문과러에게 전하는 영상! 이건 꼭 들어야 해!
한석원쌤이 문과러에게 전하는 영상! 이건 꼭 들어야 해!,맘속으론 저렇게생각하지않으실듯?ㅋㅋ﻿,한석원쌤이 문과러에게 전하는 영상! 이건 꼭 들어야 해!
한석원쌤이 문과러에게 전하는 영상! 이건 꼭 들어야 해!,머리힘줄 시강지리네﻿,한석원쌤이 문과러에게 전하는 영상! 이건 꼭 들어야 해!
한석원쌤이 문과러에게 전하는 영상! 이건 꼭 들어야 해!,머리 없으신거 치고는 굉장히 준수하게 생기셨다﻿,한석원쌤이 문과러에게 전하는 영상! 이건 꼭 들어야 해!
한석원쌤이 문과러에게 전하는 영상! 이건 꼭 들어야 해!,문과생들 잘 해줘야뎀... 불쌍해...﻿,한석원쌤이 문과러에게 전하는 영상! 이건 꼭 들어야 해!
한석원쌤이 문과러에게 전하는 영상! 이건 꼭 들어야 해!,빛난다......﻿,한석원쌤이 문과러에게 전하는 영상! 이건 꼭 들어야 해!
한석원쌤이 문과러에게 전하는 영상! 이건 꼭 들어야 해!,멋지시다.﻿,한석원쌤이 문과러에게 전하는 영상! 이건 꼭 들어야 해!
