count,date,story
1,7월 31일,"대성마이맥 이과 올패스 아이디 18에 살사람 페메주세요
이과 아니야도 국영수 강의 들으실분
#대성마이맥 #한석원 #박광일 #대성 #인강 #수능 #고3",
2,6월 19일,"대성마이맥, 수학 한석원·과학탐구 윤도영 개념강좌 무료 지원 http://www.newswire.co.kr/newsRead.php?no=871009 …",
3,5월 28일,"대성마이맥 수학 한석원 강사, 전국 수험생에 전 강좌 무료 공개 - 뉴스와이어 http://www.newswire.co.kr/newsRead.php?no=869881 …",
4,7월 9일,"요즘 난리난 꿀잠 재워주는 마약베개!!!
잘때 목을 꽉 잡아주는 느낌이라고 함 ㄷㄷㄷㄷ
　
좌표>http://bit.ly/2KLQVeE pic.twitter.com/2PwNCLERsa",812
5,2월 12일,인강은 현우진쌤을 추천해요! 메가 현우진쌤 정말 좋습니다! 그리고 대성마이맥 한석원쌤도 정말 좋아요!,76
6,2017년 11월 17일,대성마이맥 한석원도 괜찮은 것 같으니까 맛보기강의로 비교해서 잇츠미님과 더 맞는 분 강의 들으시면 좋을 것 같아요! 그럼 공부 열심히 하세요~,1
7,2017년 6월 30일,초멘나사이 ! 대성마이맥에서 강의하시는 한석원 센세십니다,2
8,2017년 3월 22일,"대성마이맥 한석원 강사, 알파테크닉 강좌 무료 제공 이벤트 실시 https://goo.gl/MorPb7 ",
9,2017년 2월 25일,내일 잠실에서 한석원선생이랑 대성마이맥 강사들이 강연함,1
10,2016년 6월 16일,"대성마이맥-비상에듀, 한석원·이명학 강사 실전모의고사 패키지 출시 http://goo.gl/nGyFfY ",
11,2015년 1월 5일,@GN_4U 대성마이맥 ㄱㄱㄱㄱ 지금 이벤트로 ebs 전권 증정행사를 하는데 이게 유료결제회원용인지 무료이벤트인지 모르겠다 15일까지. Be the first penguin 인가 이명학 한석원 같이하는 이벤트있음 확인바람,1
12,2013년 12월 14일,"大成, 이것이 2014 수능이다[2013 수능 응원] 한석원 선생님의 네 안의 기적을 깨워라!-비상에듀 대성마이맥 http://blog.naver.com/jiristar/80203530959 …",
13,2012년 9월 19일,"[깊은생각 고등수학] 알파테크닉 워크샵에서 알까기, 윷놀이하는 한석원 선생님: 한석원 선생님과 알파테크닉팀 (연구팀 + 출판팀 + 대성마이맥의 담당자 분들..)이 워크샵을 다녀왔습니다. 
해마다 이맘때... http://bit.ly/Pz49oE ",
14,2012년 6월 15일,한석원 선생님의 학습조언 - 6월 모의평가 이후 어떤 계획을 세울 것인가? (3): 이 영상은 지난 6월 9일 올림픽홀에서 있었던 대성마이맥-티치미 입시설명회에서의 한석원 선생님 발표 내용의 일부입니다... http://bit.ly/LfAa6j ,
15,6월 19일,"대성마이맥, 수학 한석원·과학탐구 윤도영 개념강좌 무료 지원 http://www.newswire.co.kr/newsRead.php?no=871009 …",
16,5월 28일,"대성마이맥 수학 한석원 강사, 전국 수험생에 전 강좌 무료 공개 http://www.newswire.co.kr/newsRead.php?no=869881 …",
17,3월 17일,"대성마이맥 올패스 양도합니다ㅠㅠ 진로변경으로 수능을 안볼려구요 뎀주세요ㅜㅜ 구매한 교재들은 같이 보낻드릴게요ㅠ
#대성마이맥 #프리패스 #올패스 #인강
#이명학 #박광일 #한석원",
18,2017년 3월 22일,"대성마이맥 한석원 강사, 알파테크닉 강좌 무료 제공 이벤트 실시 https://goo.gl/MorPb7 ",
19,2017년 2월 21일,"너네그렇게살지마라.양지영.송정민.

대성마이맥한석원선생님이
다보고있다.",
20,2016년 10월 13일,"대성마이맥, 한석원·이명학 실전모의고사 풀 패키지 50% 할인 실시 https://goo.gl/Li0jjt ",
21,2016년 6월 27일,"대성마이맥·비상에듀, 수능 대비 ‘2017 한석원 실전모의고사’ 출시 http://goo.gl/uPPZVn ",
22,2015년 5월 30일,"대성마이맥 한석원쌤 알테듣느라 첨으로 보고있는데 카메라 몹시 산만해....
쌤이 계속움직이긴하는데 왼쪽으로 쭉 가면될걸

외에에에에ㅓㄴ쪽..오..오른..외른쪽...왼쪽! 와 맞췄다! 응..? 또 움직이시넹.... 오릉으ㅡ으응은쪽..오른..왼쪽 이런느낌",
